Base_file_path,Base_time,Base_k,Base_solver,Base_neg_state,Base_status,Base_frame_sizes,Base_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter.lus,0.218,5,661,10,unsafe,7 5 3 2 1,0.556
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter2.lus,0.074,4,202,7,unsafe,3 2 1 0,0.41
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark.lus,0.061,3,145,4,safe,4 2,0.398
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27.lus,0.067,4,201,4,safe,6 5 3,0.403
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,0.068,4,196,4,safe,6 5 3,0.402
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_76.lus,0.068,4,201,4,safe,6 5 3,0.402
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_48.lus,0.006,0,2,0,unsafe,Not Found,0.344
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,0.009,1,9,1,unsafe,0,0.355
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,0.005,0,1,0,unsafe,Not Found,0.34
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch.lus,0.017,1,19,2,unsafe,0,0.355
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch2.lus,0.018,1,19,2,unsafe,0,0.366
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell.lus,0.061,2,73,5,safe,5,0.413
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,0.012,0,2,0,unsafe,Not Found,0.349
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,0.06,2,73,5,safe,5,0.402
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_21.lus,0.012,0,2,0,unsafe,Not Found,0.361
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6.lus,0.052,2,74,5,safe,5,0.391
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,0.012,0,2,0,unsafe,Not Found,0.352
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,0.06,1,53,5,unsafe,3,0.412
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway.lus,0.305,3,520,13,safe,12 7,0.66
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834.lus,0.045,3,62,1,safe,1 0,0.397
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,0.048,2,35,2,safe,2,0.396
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,0.3,3,520,13,safe,12 7,0.64
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums.lus,0.069,2,33,2,safe,2,0.409
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e7_1700.lus,0.211,1,141,9,unsafe,7,0.594
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e8_1032.lus,0.083,2,46,3,safe,3,0.435
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave01.lus,0.602,3,141,2,safe,1 0,1.013
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave02.lus,0.027,2,12,0,safe,0,0.442
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave03.lus,0.042,2,12,0,safe,0,0.445
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave04.lus,0.048,2,12,0,safe,0,0.476
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave05.lus,212.964,3,509,13,safe,14 9,213.406
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave06.lus,193.783,13,35349,171,timeout,17 12 11 10 9 8 7 6 5 4 3 2 1,290.145
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave07.lus,41.074,15,11060,19,timeout,16 14 13 12 11 10 9 8 7 6 5 4 3 2 1,290.141
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave08.lus,11.784,4,2532,18,timeout,9 6 4 2,290.123
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave09.lus,0.637,1,33,3,timeout,3,290.116
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave10.lus,7.518,5,2321,25,timeout,22 19 16 12 7,290.134
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave11.lus,2.068,3,629,9,timeout,4 2 1,290.128
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave12.lus,0.408,2,38,3,unsafe,0,0.82
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave13.lus,13.155,5,4063,33,timeout,7 4 3 2 1,290.123
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave14.lus,1.01,2,66,5,unsafe,0,1.449
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave15.lus,0.029,2,12,0,safe,0,0.467
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave16.lus,0.031,2,12,0,safe,0,0.448
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave17.lus,1.064,3,323,7,safe,7 3,1.526
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave18.lus,1.086,2,57,4,unsafe,0,1.522
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave19.lus,2.168,3,422,8,safe,7 3,2.59
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave20.lus,0.031,2,13,0,unsafe,0,0.469
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave21.lus,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.112
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave22.lus,136.389,1,266,16,timeout,16,290.115
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave23.lus,1.376,2,55,4,unsafe,0,1.825
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave24.lus,40.722,4,872,10,safe,5 2 0,41.168
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave25.lus,0.043,2,13,0,unsafe,0,0.472
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave26.lus,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.113
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave27.lus,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.115
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave28.lus,1.253,2,53,4,unsafe,0,1.708
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave29.lus,8.742,4,1034,12,safe,5 1 0,9.16
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave30.lus,102.261,4,878,12,safe,4 1 0,102.659
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave31.lus,6.981,1,104,7,timeout,7,290.116
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave32.lus,6.209,2,467,14,unsafe,0,6.664
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave33.lus,29.718,2,364,14,unsafe,0,30.107
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave34.lus,11.577,1,154,10,timeout,10,290.114
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave35.lus,208.607,2,408,15,unsafe,0,209.013
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave36.lus,17.499,2,650,21,unsafe,0,17.926
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave37.lus,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.114
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave38.lus,53.153,1,231,14,timeout,14,290.114
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave39.lus,13.882,2,577,20,unsafe,0,14.321
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave40.lus,0.04,2,13,0,unsafe,0,0.479
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1.lus,0.225,2,12,0,safe,0,0.822
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1_e4_23904_e4_2384.lus,0.399,2,12,0,safe,0,0.92
