3Thread_file_path,3Thread_sorting_clause,3Thread_time,3Thread_k,3Thread_solver,3Thread_neg_state,3Thread_status,3Thread_frame_sizes,3Thread_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter.lus,l2l1,0.287,5,651,8,unsafe,7 5 3 2 1,0.712
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter2.lus,l1l2,0.125,4,202,7,unsafe,3 2 1 0,0.573
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark.lus,l2l1,0.046,3,145,4,safe,4 2,0.381
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27.lus,l2l1,0.115,3,168,4,safe,5 4 2,0.519
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,l2l1,0.118,4,196,4,safe,6 5 3,0.55
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_76.lus,l2l1,0.114,3,168,4,safe,5 4 2,0.522
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_48.lus,l2l1,0.062,0,2,0,unsafe,Not Found,0.499
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,l1l2,0.066,1,9,1,unsafe,0,0.499
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,l1l2,0.062,0,1,0,unsafe,Not Found,0.489
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch.lus,l2l1,0.015,1,19,2,unsafe,0,0.35
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch2.lus,l2l1,0.014,1,19,2,unsafe,0,0.35
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell.lus,base,0.052,2,73,5,safe,5,0.393
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,l2l1,0.011,0,2,0,unsafe,Not Found,0.345
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,l1l2,0.045,2,73,5,safe,5,0.371
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_21.lus,l1l2,0.009,0,2,0,unsafe,Not Found,0.343
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6.lus,l2l1,0.05,2,74,5,safe,5,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,l2l1,0.009,0,2,0,unsafe,Not Found,0.345
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,l1l2,0.055,1,53,5,unsafe,3,0.394
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway.lus,l2l1,0.287,3,445,12,safe,10 6,0.584
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834.lus,l2l1,0.044,3,62,1,safe,1 0,0.389
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,l1l2,0.037,2,35,2,safe,2,0.366
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,base,0.28,3,445,12,safe,10 6,0.608
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums.lus,base,0.051,2,33,2,safe,2,0.389
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e7_1700.lus,base,0.214,1,141,9,unsafe,7,0.581
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e8_1032.lus,l2l1,0.075,2,46,3,safe,3,0.408
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave01.lus,base,0.554,3,141,2,safe,1 0,0.966
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave02.lus,l2l1,0.048,2,12,0,safe,0,0.45
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave03.lus,base,0.03,2,12,0,safe,0,0.432
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave04.lus,base,0.034,2,12,0,safe,0,0.444
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave05.lus,l2l1,7.972,1,138,9,safe,9,273.588
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave06.lus,base,2.593,3,841,10,timeout,10 6 3,290.172
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave07.lus,base,21.843,13,9441,17,timeout,14 12 11 10 9 8 7 6 5 4 3 2 1,290.216
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave08.lus,base,17.226,8,6503,27,timeout,9 7 6 5 4 3 2 1,290.164
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave09.lus,base,0.644,1,33,3,timeout,3,290.164
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave10.lus,base,3.558,4,1380,12,timeout,6 3 2 1,290.247
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave11.lus,base,3.509,3,917,14,timeout,12 8 4,290.145
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave12.lus,l1l2,0.451,1,24,3,unsafe,1,0.766
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave13.lus,base,3.542,4,1370,12,timeout,6 3 2 1,290.208
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave14.lus,base,0.887,2,66,5,unsafe,0,1.324
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave15.lus,l2l1,0.03,2,12,0,safe,0,0.46
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave16.lus,l1l2,0.034,2,12,0,safe,0,0.455
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave17.lus,base,0.955,3,323,7,safe,7 3,1.419
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave18.lus,base,0.926,2,57,4,unsafe,0,1.362
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave19.lus,l1l2,1.858,2,264,8,safe,4 1,2.236
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave20.lus,l1l2,0.041,2,13,0,unsafe,0,0.456
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave21.lus,base,104.132,1,153,10,timeout,10,290.115
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave22.lus,base,52.468,1,266,16,timeout,16,290.116
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave23.lus,l1l2,1.215,1,43,4,unsafe,0,1.624
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave24.lus,l1l2,0.865,1,77,5,safe,5,7.134
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave25.lus,l1l2,0.041,2,13,0,unsafe,0,0.465
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave26.lus,base,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.119
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave27.lus,base,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.117
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave28.lus,l1l2,1.063,2,49,4,unsafe,0,1.468
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave29.lus,base,6.782,4,1031,12,safe,5 1 0,7.495
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave30.lus,base,9.085,3,409,9,safe,8 4,9.804
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave31.lus,l1l2,3.557,1,65,5,unsafe,5,5.399
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave32.lus,l2l1,4.732,2,462,14,unsafe,0,5.406
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave33.lus,l1l2,3.278,1,135,9,unsafe,9,14.209
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave34.lus,l2l1,6.531,1,150,10,unsafe,10,7.436
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave35.lus,l2l1,11.221,2,311,11,unsafe,3 0,11.584
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave36.lus,l2l1,4.923,1,166,11,unsafe,11,6.851
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave37.lus,base,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.117
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave38.lus,l1l2,47.249,1,231,14,unsafe,14,169.132
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave39.lus,l1l2,7.602,2,480,17,unsafe,3 0,8.271
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave40.lus,l2l1,0.045,2,13,0,unsafe,0,0.462
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1.lus,l2l1,0.191,2,12,0,safe,0,0.782
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1_e4_23904_e4_2384.lus,l1l2,0.32,2,12,0,safe,0,0.852
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2.lus,base,0.087,3,89,1,safe,1 0,0.445
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e1_17214_e5_18600.lus,l1l2,0.1,3,89,1,safe,1 0,0.488
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e3_514_e4_11150.lus,base,0.084,3,89,1,safe,1 0,0.461
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e6_3003_e4_15091.lus,l2l1,0.107,3,89,1,safe,1 0,0.462
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e7_12307.lus,l1l2,0.096,3,89,1,safe,1 0,0.477
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e8_21449_e5_18210.lus,l1l2,0.155,3,172,2,safe,2 0,0.514
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1.lus,base,0.053,2,25,1,safe,1,0.42
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e1_268_e7_501.lus,l1l2,0.062,2,25,1,safe,1,0.45
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370.lus,base,0.086,2,41,2,safe,2,0.473
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_3184_e7_1888.lus,l2l1,0.07,2,25,1,safe,1,0.448
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_5070.lus,base,0.055,2,27,1,safe,1,0.434
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e2_1997.lus,l1l2,0.062,2,25,1,safe,1,0.432
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e2_1997_e7_3613_e2_3409.lus,l1l2,0.055,2,25,1,safe,1,0.438
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e3_11891_e7_4569_e4_4881.lus,l1l2,0.058,2,25,1,safe,1,0.444
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10.lus,l2l1,0.091,2,39,2,safe,2,0.445
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e1_3587_e3_2749.lus,l1l2,0.084,2,39,2,safe,2,0.457
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e1_3587_e7_872.lus,l2l1,0.023,0,2,0,unsafe,Not Found,0.416
