3in1_file_path,3in1_sorting_clause,3in1_time,3in1_k,3in1_solver,3in1_neg_state,3in1_num_s,3in1_num_t,3in1_num_gen,3in1_status,3in1_frame_sizes,3in1_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave01.lus,base,0.503,3,78,2,0,0,Not Found,safe,1 0,0.965
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave06.lus,base,2.479,4,568,13,0,0,Not Found,timeout,5 3 2 1,290.16
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave07.lus,base,2.868,4,660,14,2,1,Not Found,timeout,6 3 2 1,290.34
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave08.lus,base,0.525,1,30,3,0,0,Not Found,timeout,3,290.24
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave09.lus,base,277.546,3,1623,26,0,0,Not Found,timeout,23 21 20,290.194
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave10.lus,base,263.741,18,29888,113,0,1,Not Found,timeout,46 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24,290.198
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave11.lus,base,208.742,5,9952,108,0,3,Not Found,timeout,25 23 22 21 20,290.157
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave13.lus,base,16.998,8,2649,27,0,1,Not Found,timeout,12 9 6 5 4 3 2 1,290.216
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave14.lus,l1l2,0.859,2,66,5,0,0,Not Found,unsafe,0,1.374
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave17.lus,base,1.239,3,285,8,0,0,Not Found,safe,8 4,1.681
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave18.lus,l1l2,0.954,1,43,4,0,0,Not Found,unsafe,2,1.394
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave19.lus,base,1.914,3,254,8,0,0,Not Found,safe,7 3,2.412
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave23.lus,l1l2,1.225,1,43,4,0,0,Not Found,unsafe,0,1.577
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave24.lus,base,7.172,4,459,9,0,0,Not Found,safe,3 1 0,7.891
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave26.lus,base,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.118
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave27.lus,base,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.117
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave28.lus,l2l1,0.954,2,53,4,0,0,Not Found,unsafe,0,1.376
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave29.lus,base,4.81,3,507,14,0,0,Not Found,safe,15 7,5.528
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave30.lus,l1l2,4.973,2,145,7,0,0,Not Found,safe,7,5.635
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave31.lus,l1l2,6.519,2,89,5,0,0,Not Found,unsafe,5,7.167
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave34.lus,l1l2,4.726,1,132,9,0,0,Not Found,unsafe,9,6.05
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave36.lus,l2l1,4.911,1,145,11,0,0,Not Found,unsafe,0,5.589
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave37.lus,base,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.114
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave38.lus,l1l2,44.646,1,231,14,0,0,Not Found,unsafe,14,148.432
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11.lus,base,18.024,2,8165,61,2,0,Not Found,timeout,116 59,290.388
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e2_1483.lus,base,182.596,4,23614,97,4,5,Not Found,timeout,158 107 84 64,290.387
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e2_1678_e1_3565.lus,base,224.684,5,28527,121,6,3,Not Found,timeout,110 72 59 53 47,290.242
