3in1_file_path,3in1_sorting_clause,3in1_time,3in1_k,3in1_solver,3in1_neg_state,3in1_num_s,3in1_num_t,3in1_num_gen,3in1_status,3in1_frame_sizes,3in1_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter.lus,base,0.165,5,528,10,1,0,Not Found,unsafe,7 5 3 2 1,0.502
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter2.lus,l1l2,0.064,4,203,7,2,1,Not Found,unsafe,3 2 1 0,0.391
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark.lus,l2l1,0.035,3,130,4,0,0,Not Found,safe,4 2,0.37
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27.lus,l2l1,0.06,4,197,4,1,0,Not Found,safe,6 5 3,0.391
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,l1l2,0.06,4,191,4,1,0,Not Found,safe,6 5 3,0.391
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_76.lus,base,0.059,4,197,4,1,0,Not Found,safe,6 5 3,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_48.lus,l1l2,0.006,0,2,0,0,0,Not Found,unsafe,Not Found,0.341
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,l2l1,0.01,1,9,1,0,0,Not Found,unsafe,0,0.342
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,l2l1,0.005,0,1,0,0,0,Not Found,unsafe,Not Found,0.344
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch.lus,l2l1,0.012,1,19,2,0,0,Not Found,unsafe,0,0.349
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch2.lus,l2l1,0.014,1,19,2,0,0,Not Found,unsafe,0,0.351
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell.lus,base,0.043,2,73,5,0,0,Not Found,safe,5,0.381
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,l2l1,0.009,0,2,0,0,0,Not Found,unsafe,Not Found,0.342
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,l1l2,0.042,2,73,5,0,0,Not Found,safe,5,0.371
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_21.lus,l2l1,0.009,0,2,0,0,0,Not Found,unsafe,Not Found,0.354
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6.lus,l1l2,0.042,2,74,5,0,0,Not Found,safe,5,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,l2l1,0.01,0,2,0,0,0,Not Found,unsafe,Not Found,0.341
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,l1l2,0.042,1,53,5,0,0,Not Found,unsafe,3,0.382
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway.lus,base,0.18,3,295,10,1,0,Not Found,safe,8 4,0.52
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834.lus,l1l2,0.062,3,78,2,0,0,Not Found,safe,2 1,0.386
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,l1l2,0.036,2,35,2,0,0,Not Found,safe,2,0.371
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,l2l1,0.203,3,295,10,1,0,Not Found,safe,8 4,0.532
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums.lus,base,0.066,2,33,2,0,0,Not Found,safe,2,0.399
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e7_1700.lus,base,0.215,1,141,9,0,0,Not Found,unsafe,7,0.576
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e8_1032.lus,base,0.073,2,46,3,0,0,Not Found,safe,3,0.423
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave01.lus,base,0.503,3,78,2,0,0,Not Found,safe,1 0,0.965
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave02.lus,base,0.021,2,12,0,0,0,Not Found,safe,0,0.424
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave03.lus,l1l2,0.029,2,12,0,0,0,Not Found,safe,0,0.432
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave04.lus,l2l1,0.032,2,12,0,0,0,Not Found,safe,0,0.442
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave05.lus,l1l2,2.888,1,134,9,0,0,Not Found,safe,9,238.422
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave06.lus,base,2.479,4,568,13,0,0,Not Found,timeout,5 3 2 1,290.16
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave07.lus,base,2.868,4,660,14,2,1,Not Found,timeout,6 3 2 1,290.34
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave08.lus,base,0.525,1,30,3,0,0,Not Found,timeout,3,290.24
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave09.lus,base,277.546,3,1623,26,0,0,Not Found,timeout,23 21 20,290.194
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave10.lus,base,263.741,18,29888,113,0,1,Not Found,timeout,46 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24,290.198
