Reuse_file_path,Reuse_time,Reuse_k,Reuse_solver,Reuse_neg_state,Reuse_num_s,Reuse_num_t,Reuse_num_gen,Reuse_status,Reuse_frame_sizes,Reuse_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave01.lus,0.665,3,147,2,0,0,Not Found,safe,1 0,1.122
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave06.lus,3.164,3,892,10,0,1,Not Found,timeout,9 6 3,290.128
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave07.lus,2.311,4,1027,7,1,0,Not Found,timeout,5 3 2 1,290.13
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave08.lus,79.546,11,9301,19,0,0,Not Found,timeout,17 15 14 13 12 11 10 9 8 7 6,290.122
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave09.lus,3.536,3,1009,7,1,0,Not Found,timeout,10 7 2,290.118
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave10.lus,206.106,11,13889,36,0,1,Not Found,timeout,14 10 9 8 7 6 5 4 3 2 1,290.132
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave11.lus,12.246,5,3698,28,0,4,Not Found,timeout,6 4 3 2 1,290.145
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave13.lus,210.759,11,13889,36,0,1,Not Found,timeout,14 10 9 8 7 6 5 4 3 2 1,290.127
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave14.lus,1.011,2,65,5,0,0,Not Found,unsafe,0,1.462
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave17.lus,3.318,3,701,14,0,0,Not Found,safe,13 7,3.761
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave18.lus,1.136,2,55,4,0,0,Not Found,unsafe,0,1.581
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave19.lus,48.025,3,426,8,0,0,Not Found,safe,7 3,48.463
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave23.lus,1.321,2,91,6,0,0,Not Found,unsafe,0,1.733
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave24.lus,55.41,3,653,12,0,0,Not Found,safe,11 5,55.856
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave26.lus,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.118
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave27.lus,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.117
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave28.lus,1.251,2,67,5,0,0,Not Found,unsafe,0,1.712
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave29.lus,28.509,3,439,9,0,0,Not Found,safe,7 3,28.978
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave30.lus,7.483,3,515,9,0,0,Not Found,safe,8 3,7.92
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave31.lus,5.013,2,445,13,1,0,Not Found,unsafe,0,5.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave34.lus,2.616,1,124,9,0,0,Not Found,unsafe,9,25.669
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave36.lus,12.2,2,478,16,0,0,Not Found,unsafe,0,12.629
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave37.lus,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.118
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave38.lus,94.794,2,372,15,0,0,Not Found,unsafe,0,95.211
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11.lus,42.126,3,10208,45,3,4,Not Found,timeout,85 69 33,290.158
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e2_1483.lus,12.834,2,4196,26,2,0,Not Found,timeout,45 24,290.153
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e2_1678_e1_3565.lus,3.006,2,1414,16,2,0,Not Found,timeout,26 14,290.15
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e2_5396_e3_282.lus,1.106,2,600,11,2,0,Not Found,timeout,16 9,290.158
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e3_382_e1_505.lus,12.241,3,4308,28,4,1,Not Found,timeout,53 42 19,290.161
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e3_382_e4_4421.lus,264.959,4,31124,88,5,13,Not Found,timeout,139 126 99 51,290.143
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12.lus,5.427,5,2728,17,3,1,Not Found,safe,20 15 14 8,5.803
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618.lus,9.197,6,4627,14,2,1,Not Found,safe,16 9 3 1 0,9.591
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e1_6030.lus,5.578,5,3121,19,3,1,Not Found,safe,21 15 13 7,5.967
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e2_138.lus,92.997,5,19741,33,2,0,Not Found,safe,34 7 6 4,93.409
