Reuse&Unsatcore_file_path,Reuse&Unsatcore_time,Reuse&Unsatcore_k,Reuse&Unsatcore_solver,Reuse&Unsatcore_neg_state,Reuse&Unsatcore_num_s,Reuse&Unsatcore_num_t,Reuse&Unsatcore_num_gen,Reuse&Unsatcore_status,Reuse&Unsatcore_frame_sizes,Reuse&Unsatcore_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave01.lus,0.591,3,78,2,0,0,Not Found,safe,1 0,1.04
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave06.lus,20.724,9,4360,52,0,4,Not Found,timeout,10 8 7 6 5 4 3 2 1,290.165
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave07.lus,1.094,3,201,6,1,0,Not Found,timeout,4 2 1,290.197
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave08.lus,7.768,5,1343,26,0,2,Not Found,timeout,7 4 3 2 1,290.268
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave09.lus,2.489,3,561,7,1,0,Not Found,timeout,8 5 1,290.126
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave10.lus,6.204,5,859,14,0,1,Not Found,timeout,6 4 3 2 1,290.135
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave11.lus,2.171,3,319,8,0,0,Not Found,timeout,4 2 1,290.118
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave13.lus,5.419,5,859,14,0,1,Not Found,timeout,6 4 3 2 1,290.154
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave14.lus,1.137,2,65,5,0,0,Not Found,unsafe,0,1.569
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave17.lus,4.516,3,465,12,0,0,Not Found,safe,11 5,4.952
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave18.lus,1.055,2,55,4,0,0,Not Found,unsafe,0,1.495
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave19.lus,2.795,3,297,9,0,0,Not Found,safe,8 4,3.285
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave23.lus,1.298,2,91,6,0,0,Not Found,unsafe,0,1.722
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave24.lus,40.655,3,373,10,0,0,Not Found,safe,9 3,41.096
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave26.lus,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.118
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave27.lus,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.118
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave28.lus,1.192,2,67,5,0,0,Not Found,unsafe,0,1.644
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave29.lus,22.973,3,254,8,0,0,Not Found,safe,7 3,23.407
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave30.lus,4.292,3,352,10,0,0,Not Found,safe,9 4,4.728
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave31.lus,6.258,2,318,12,1,0,Not Found,unsafe,0,6.692
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave34.lus,10.414,2,312,15,1,0,Not Found,unsafe,0,10.833
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave36.lus,27.801,2,361,17,0,0,Not Found,unsafe,0,28.225
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave37.lus,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.118
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave38.lus,75.079,1,207,13,0,0,Not Found,timeout,13,290.118
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11.lus,77.863,2,15557,85,2,0,Not Found,timeout,164 83,290.234
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e2_1483.lus,0.21,1,71,5,0,0,Not Found,timeout,5,290.314
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e2_1678_e1_3565.lus,0.182,1,55,4,0,0,Not Found,timeout,4,290.366
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e2_5396_e3_282.lus,0.182,1,53,4,0,0,Not Found,timeout,4,290.307
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e3_382_e1_505.lus,8.48,3,3023,30,4,1,Not Found,timeout,60 47 24,290.214
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e3_382_e4_4421.lus,137.124,4,20037,80,5,9,Not Found,timeout,169 151 115 58,290.185
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12.lus,4.892,5,2183,19,2,2,Not Found,safe,34 29 24 11,5.307
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618.lus,8.243,6,3120,15,2,0,Not Found,safe,19 10 6 2 0,8.636
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e1_6030.lus,3.573,5,1763,17,2,2,Not Found,safe,25 21 16 7,3.962
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e2_138.lus,2.75,5,1607,17,2,2,Not Found,safe,27 23 18 8,3.143
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e3_2012.lus,9.77,6,3838,24,3,4,Not Found,safe,41 37 34 21 9,10.157
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13.lus,3.014,4,1608,24,6,0,Not Found,safe,25 21 10,3.402
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e3_1418_e3_2761.lus,88.181,14,15529,50,11,3,Not Found,safe,21 16 11 9 8 7 6 5 4 3 2 1 0,88.589
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14.lus,204.83,9,28471,114,9,19,Not Found,timeout,104 99 91 84 79 75 69 63 53,290.168
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e1_5710.lus,173.599,7,28393,112,11,8,Not Found,timeout,163 155 145 143 129 101 50,290.15
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e2_3606.lus,182.792,9,21698,68,11,5,Not Found,timeout,89 84 77 73 69 66 61 50 30,290.14
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e3_1259_e1_5798.lus,173.871,10,23888,66,13,5,Not Found,timeout,71 64 58 57 53 49 45 34 21 11,290.152
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e3_5120.lus,205.476,10,21878,59,9,5,Not Found,timeout,79 74 66 65 61 57 50 40 20 10,290.141
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162.lus,0.94,2,435,15,1,0,Not Found,unsafe,16 9,1.324
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e1_3998.lus,0.826,2,394,13,1,0,Not Found,unsafe,15 6,1.219
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e2_753.lus,1.28,2,605,19,2,0,Not Found,unsafe,23 11,1.689
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e3_4298.lus,0.81,2,323,12,1,0,Not Found,unsafe,14 6,1.214
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e7_3528.lus,0.612,2,263,10,1,0,Not Found,unsafe,11 5,1.001
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4.lus,4.513,5,2573,26,8,2,Not Found,safe,38 33 25 9,4.904
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e1_4312.lus,8.139,5,3669,27,8,2,Not Found,safe,42 36 27 7,8.522
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799.lus,5.423,5,2407,22,6,0,Not Found,safe,37 31 23 8,5.833
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e1_1303.lus,42.273,7,11792,58,10,5,Not Found,safe,90 84 77 61 42 20,42.664
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e2_2251.lus,19.375,7,6611,42,12,5,Not Found,safe,41 36 30 26 19 7,19.755
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e3_1915.lus,6.753,5,2958,27,8,0,Not Found,safe,42 37 26 9,7.158
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e3_1540_e1_5048.lus,11.844,6,4575,32,9,5,Not Found,safe,47 41 37 24 7,12.235
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e3_4133.lus,25.295,7,7595,34,11,4,Not Found,safe,52 47 43 34 16 7,25.699
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5.lus,0.505,4,351,7,1,0,Not Found,safe,9 7 3,0.9
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e1_1835.lus,0.657,4,482,8,1,0,Not Found,safe,10 8 5,1.038
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e2_3018_e2_936.lus,0.49,4,333,7,1,0,Not Found,safe,9 7 3,0.877
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_8.lus,0.317,3,214,6,2,0,Not Found,timeout,7 6 3,290.217
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_8_e3_786_e7_4541.lus,0.378,4,219,6,2,0,Not Found,safe,6 5 3,0.772
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_8_e7_3752.lus,0.466,4,284,8,2,0,Not Found,safe,8 7 4,0.852
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2.lus,8.851,6,2921,27,4,0,Not Found,safe,26 22 20 18 10,9.241
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e1_6463.lus,3.372,4,1444,26,4,0,Not Found,safe,19 14 8,3.768
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e2_5774.lus,6.629,5,2301,26,6,0,Not Found,safe,24 20 17 8,7.035
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e3_1543.lus,4.367,6,1859,20,3,0,Not Found,safe,8 4 3 1 0,4.78
