3in1_file_path,3in1_sorting_clause,3in1_time,3in1_k,3in1_solver,3in1_neg_state,3in1_num_s,3in1_num_t,3in1_num_gen,3in1_status,3in1_frame_sizes,3in1_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter.lus,base,0.159,5,532,10,1,0,Not Found,invalid,7 5 3 2 1,0.84
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter2.lus,base,0.06,4,203,7,2,1,Not Found,invalid,3 2 1 0,0.729
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark.lus,base,0.035,3,130,4,0,0,Not Found,valid,4 2,0.371
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27.lus,base,0.047,4,197,4,1,0,Not Found,valid,6 5 3,0.698
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,base,0.048,4,191,4,1,0,Not Found,valid,6 5 3,0.7
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_76.lus,base,0.056,4,197,4,1,0,Not Found,valid,6 5 3,0.708
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_48.lus,base,0.004,0,2,0,0,0,Not Found,invalid,Not Found,0.659
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,base,0.01,1,9,1,0,0,Not Found,invalid,0,0.658
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,base,0.005,0,1,0,0,0,Not Found,invalid,Not Found,0.667
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch.lus,base,0.012,1,19,2,0,0,Not Found,invalid,0,0.35
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch2.lus,base,0.012,1,19,2,0,0,Not Found,invalid,0,0.36
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell.lus,base,0.043,2,73,5,0,0,Not Found,valid,5,0.391
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,base,0.009,0,2,0,0,0,Not Found,invalid,Not Found,0.342
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,base,0.041,2,73,5,0,0,Not Found,valid,5,0.371
