3in1_file_path,3in1_sorting_clause,3in1_time,3in1_k,3in1_solver,3in1_neg_state,3in1_num_s,3in1_num_t,3in1_num_gen,3in1_status,3in1_frame_sizes,3in1_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_48.lus,base,0.005,0,2,0,0,0,Not Found,invalid,Not Found,0.342
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,l2l1,0.006,0,1,0,0,0,Not Found,invalid,Not Found,0.342
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,l2l1,0.009,1,9,1,0,0,Not Found,invalid,0,0.343
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter2.lus,base,0.058,4,203,7,2,1,Not Found,invalid,3 2 1 0,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,base,0.057,4,191,4,1,0,Not Found,valid,6 5 3,0.393
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27.lus,base,0.060,4,197,4,1,0,Not Found,valid,6 5 3,0.395
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_76.lus,l2l1,0.065,4,197,4,1,0,Not Found,valid,6 5 3,0.398
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter.lus,l2l1,0.188,5,532,10,1,0,Not Found,invalid,7 5 3 2 1,0.503
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch2.lus,l2l1,0.012,1,19,2,0,0,Not Found,invalid,0,0.351
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch.lus,l2l1,0.014,1,19,2,0,0,Not Found,invalid,0,0.350
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark.lus,l2l1,0.035,3,130,4,0,0,Not Found,valid,4 2,0.380
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,l2l1,0.011,0,2,0,0,0,Not Found,invalid,Not Found,0.343
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_21.lus,l2l1,0.012,0,2,0,0,0,Not Found,invalid,Not Found,0.353
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,l2l1,0.010,0,2,0,0,0,Not Found,invalid,Not Found,0.353
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,l2l1,0.043,2,73,5,0,0,Not Found,valid,5,0.371
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,base,0.043,1,53,5,0,0,Not Found,invalid,3,0.373
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6.lus,l2l1,0.044,2,74,5,0,0,Not Found,valid,5,0.383
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell.lus,base,0.044,2,73,5,0,0,Not Found,valid,5,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,base,0.036,2,35,2,0,0,Not Found,valid,2,0.386
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834.lus,l2l1,0.066,3,78,2,0,0,Not Found,valid,2 1,0.408
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,l2l1,0.207,3,264,10,1,0,Not Found,valid,8 4,0.508
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway.lus,base,0.174,3,295,10,1,0,Not Found,valid,8 4,0.509
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e8_1032.lus,base,0.067,2,46,3,0,0,Not Found,valid,3,0.398
