3in1_file_path,3in1_sorting_clause,3in1_time,3in1_k,3in1_solver,3in1_neg_state,3in1_num_s,3in1_num_t,3in1_num_gen,3in1_status,3in1_frame_sizes,3in1_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_48.lus,l2l1,0.005,0,2,0,0,0,Not Found,invalid,Not Found,0.341
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,l2l1,0.009,1,9,1,0,0,Not Found,invalid,0,0.341
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,l1l2,0.005,0,1,0,0,0,Not Found,invalid,Not Found,0.343
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,l2l1,0.058,4,191,4,1,0,Not Found,valid,6 5 3,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27.lus,l2l1,0.058,4,197,4,1,0,Not Found,valid,6 5 3,0.391
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter2.lus,l1l2,0.062,4,203,7,2,1,Not Found,invalid,3 2 1 0,0.400
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_76.lus,l1l2,0.061,4,197,4,1,0,Not Found,valid,6 5 3,0.394
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter.lus,l1l2,0.168,5,534,10,1,0,Not Found,invalid,7 5 3 2 1,0.504
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch2.lus,l1l2,0.014,1,19,2,0,0,Not Found,invalid,0,0.350
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch.lus,l1l2,0.013,1,19,2,0,0,Not Found,invalid,0,0.351
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark.lus,l1l2,0.037,3,130,4,0,0,Not Found,valid,4 2,0.370
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,l2l1,0.010,0,2,0,0,0,Not Found,invalid,Not Found,0.344
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_21.lus,l2l1,0.009,0,2,0,0,0,Not Found,invalid,Not Found,0.343
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,l2l1,0.009,0,2,0,0,0,Not Found,invalid,Not Found,0.358
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,l1l2,0.044,2,73,5,0,0,Not Found,valid,5,0.382
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,l2l1,0.045,1,53,5,0,0,Not Found,invalid,3,0.373
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell.lus,l2l1,0.045,2,73,5,0,0,Not Found,valid,5,0.371
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6.lus,l1l2,0.044,2,74,5,0,0,Not Found,valid,5,0.380
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,l1l2,0.026,2,24,1,0,0,Not Found,valid,1,0.370
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834.lus,l1l2,0.044,2,48,3,0,0,Not Found,valid,3,0.397
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,l2l1,0.211,3,320,9,1,0,Not Found,valid,6 3,0.510
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e8_1032.lus,l2l1,0.099,1,47,5,0,0,Not Found,valid,3,0.410
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway.lus,l2l1,0.220,3,337,9,1,0,Not Found,valid,2 1 0,0.530
